max_depth,min_child_weight,learning_rate,n_estimators,n_wins,pool
2,3,0.1,400,4,mean
2,3,0.05,400,4,mean
2,1,0.05,400,3,mean
2,3,0.1,200,2,mean
2,3,0.05,600,1,mean
2,1,0.03,600,1,mean
2,1,0.05,600,1,mean
3,3,0.03,400,1,mean
4,1,0.1,200,1,mean
4,3,0.1,200,1,mean
4,3,0.1,400,1,mean
3,3,0.1,600,1,mean
5,5,0.05,400,1,mean
5,3,0.1,600,1,mean
5,3,0.1,400,1,mean
5,3,0.05,600,1,mean
2,1,0.1,400,0,mean
2,3,0.05,200,0,mean
2,5,0.03,200,0,mean
2,3,0.1,600,0,mean
2,3,0.03,600,0,mean
2,3,0.03,400,0,mean
2,3,0.03,200,0,mean
2,1,0.1,600,0,mean
2,5,0.1,200,0,mean
2,5,0.1,400,0,mean
2,5,0.1,600,0,mean
2,5,0.03,400,0,mean
3,1,0.03,200,0,mean
3,1,0.03,400,0,mean
3,1,0.05,200,0,mean
3,1,0.03,600,0,mean
3,1,0.05,600,0,mean
3,1,0.1,200,0,mean
3,1,0.1,400,0,mean
3,1,0.05,400,0,mean
2,5,0.03,600,0,mean
2,5,0.05,200,0,mean
2,5,0.05,400,0,mean
2,5,0.05,600,0,mean
2,1,0.05,200,0,mean
2,1,0.03,400,0,mean
2,1,0.1,200,0,mean
2,1,0.03,200,0,mean
3,3,0.1,400,0,mean
3,3,0.1,200,0,mean
3,3,0.05,600,0,mean
3,3,0.05,400,0,mean
3,3,0.05,200,0,mean
3,3,0.03,600,0,mean
3,3,0.03,200,0,mean
3,1,0.1,600,0,mean
3,5,0.1,400,0,mean
3,5,0.1,600,0,mean
4,1,0.03,200,0,mean
4,1,0.03,400,0,mean
3,5,0.05,200,0,mean
3,5,0.03,200,0,mean
3,5,0.03,400,0,mean
3,5,0.03,600,0,mean
4,1,0.05,600,0,mean
4,1,0.05,400,0,mean
4,1,0.05,200,0,mean
4,1,0.1,400,0,mean
4,3,0.03,400,0,mean
4,3,0.03,600,0,mean
4,1,0.1,600,0,mean
4,3,0.03,200,0,mean
4,3,0.05,400,0,mean
4,3,0.05,200,0,mean
4,3,0.05,600,0,mean
4,3,0.1,600,0,mean
4,1,0.03,600,0,mean
3,5,0.05,400,0,mean
3,5,0.05,600,0,mean
3,5,0.1,200,0,mean
4,5,0.05,200,0,mean
4,5,0.03,600,0,mean
4,5,0.03,400,0,mean
4,5,0.03,200,0,mean
4,5,0.05,400,0,mean
4,5,0.05,600,0,mean
4,5,0.1,200,0,mean
4,5,0.1,400,0,mean
5,1,0.05,200,0,mean
5,1,0.05,400,0,mean
5,1,0.05,600,0,mean
5,1,0.1,200,0,mean
4,5,0.1,600,0,mean
5,1,0.03,200,0,mean
5,1,0.03,400,0,mean
5,1,0.03,600,0,mean
5,3,0.03,400,0,mean
5,3,0.03,200,0,mean
5,1,0.1,600,0,mean
5,1,0.1,400,0,mean
5,3,0.05,400,0,mean
5,3,0.05,200,0,mean
5,3,0.1,200,0,mean
5,3,0.03,600,0,mean
5,5,0.03,200,0,mean
5,5,0.03,400,0,mean
5,5,0.03,600,0,mean
5,5,0.05,200,0,mean
5,5,0.05,600,0,mean
5,5,0.1,200,0,mean
5,5,0.1,400,0,mean
5,5,0.1,600,0,mean
2,3,0.05,600,6,max
3,3,0.03,600,3,max
2,1,0.1,200,2,max
2,1,0.05,400,2,max
3,1,0.03,400,2,max
2,3,0.03,600,1,max
2,1,0.1,400,1,max
2,1,0.05,600,1,max
3,1,0.03,600,1,max
4,1,0.05,600,1,max
4,1,0.03,400,1,max
3,3,0.1,600,1,max
4,3,0.1,400,1,max
5,1,0.05,400,1,max
5,1,0.03,400,1,max
2,3,0.03,200,0,max
2,3,0.03,400,0,max
2,3,0.05,200,0,max
2,3,0.05,400,0,max
2,3,0.1,200,0,max
2,5,0.03,600,0,max
2,5,0.05,200,0,max
2,1,0.1,600,0,max
2,1,0.05,200,0,max
2,3,0.1,400,0,max
2,3,0.1,600,0,max
2,5,0.03,200,0,max
2,5,0.03,400,0,max
3,1,0.03,200,0,max
2,5,0.1,600,0,max
2,5,0.1,400,0,max
3,1,0.05,200,0,max
3,1,0.05,600,0,max
3,1,0.1,200,0,max
3,1,0.1,400,0,max
3,1,0.05,400,0,max
3,1,0.1,600,0,max
3,3,0.03,200,0,max
2,5,0.05,400,0,max
2,5,0.05,600,0,max
2,5,0.1,200,0,max
2,1,0.03,600,0,max
2,1,0.03,400,0,max
2,1,0.03,200,0,max
3,3,0.1,400,0,max
3,3,0.1,200,0,max
3,3,0.05,600,0,max
3,3,0.05,400,0,max
3,3,0.05,200,0,max
3,3,0.03,400,0,max
3,5,0.05,200,0,max
3,5,0.05,400,0,max
3,5,0.1,200,0,max
3,5,0.05,600,0,max
3,5,0.1,600,0,max
3,5,0.1,400,0,max
4,1,0.03,200,0,max
4,1,0.03,600,0,max
3,5,0.03,400,0,max
3,5,0.03,200,0,max
4,1,0.05,400,0,max
4,1,0.1,200,0,max
4,1,0.1,600,0,max
4,1,0.1,400,0,max
4,3,0.03,400,0,max
4,3,0.03,600,0,max
4,3,0.05,200,0,max
4,3,0.03,200,0,max
4,3,0.05,400,0,max
4,3,0.05,600,0,max
4,3,0.1,200,0,max
4,3,0.1,600,0,max
4,5,0.03,200,0,max
4,5,0.03,400,0,max
4,1,0.05,200,0,max
3,5,0.03,600,0,max
4,5,0.05,200,0,max
4,5,0.03,600,0,max
4,5,0.1,200,0,max
4,5,0.05,400,0,max
4,5,0.1,400,0,max
4,5,0.1,600,0,max
5,1,0.03,200,0,max
4,5,0.05,600,0,max
5,1,0.03,600,0,max
5,1,0.05,200,0,max
5,1,0.05,600,0,max
5,1,0.1,200,0,max
5,1,0.1,400,0,max
5,1,0.1,600,0,max
5,3,0.03,200,0,max
5,3,0.03,400,0,max
5,3,0.03,600,0,max
5,3,0.05,200,0,max
5,3,0.05,400,0,max
5,3,0.05,600,0,max
5,3,0.1,200,0,max
5,3,0.1,400,0,max
5,3,0.1,600,0,max
5,5,0.03,200,0,max
5,5,0.03,400,0,max
5,5,0.03,600,0,max
5,5,0.05,200,0,max
5,5,0.05,400,0,max
5,5,0.05,600,0,max
5,5,0.1,200,0,max
5,5,0.1,400,0,max
5,5,0.1,600,0,max
